VideoName,FrameCount,MissCount_5sec,MissCount_2sec,Acc_5sec,Acc_5sec,Acc_2sec,GTAcc,FrmExtrctnTm_5sec,FrmExtrctTm_2sec
Air_Force_One,4494,4407,4452,0.8430351579884289,84.3035158,85.14463729,0.3262300582153844,00:01:17,00:01:42
Base jumping,4729,3641,3615,0.696576678,69.65766782,69.06792604,0.4076297113668688,00:00:12,00:00:32
Bearpark_climbing,3341,1323,1263,0.4306495061358876,43.06495061,43.28444577,0.5423723878658852,00:00:19,00:00:39
Bike Polo,3064,2256,2343,0.6975413402959095,69.75413403,71.7667537,0.4488767477452297,00:00:18,00:00:43
Bus_in_Rock_Tunnel,5131,3991,3953,0.7011368804001818,70.11368804,69.70051322,0.360910734,00:00:10,00:00:24
car_over_camera,4382,3892,3878,0.8336832496576906,83.36832497,83.28921345,0.5182592119414701,00:00:08,00:00:23
Car_railcrossing,5075,4289,4383,0.739027094,73.90270936,75.3953202,0.4295750928195297,00:00:30,00:00:55
Cockpit_Landing,9046,7431,7591,0.7570933746038765,75.70933746,76.57454492,0.3829007403582319,00:00:54,00:01:26
Cooking,1286,862,895,0.6258347818131919,62.58347818,64.21644863,0.47922839334476564,00:00:01,00:00:01
Eiffel Tower,4971,4142,4280,0.7600080466706899,76.00080467,77.58599879,0.4718952301137788,00:01:20,00:03:07
Excavators river crossing,9721,7453,7371,0.6907725542639647,69.07725543,67.78932209,0.42762734653376894,00:00:14,00:00:36
Fire Domino,1612,1305,1357,0.7096774193548386,70.96774194,73.99503722,0.40648609375096206,00:00:02,00:00:02
Jumps,950,553,640,0.5607017543859649,56.07017544,61.22807018,0.4884454293628809,00:00:01,00:00:01
Kids_playing_in_leaves,3187,2127,2062,0.6216086183453613,62.16086183,59.74898023,0.434798905,00:00:23,00:00:18
Notre_Dame,4608,3398,3571,0.6786747685185186,67.86747685,70.41521991,0.4040815565321181,00:01:08,00:00:59
Paintball,6096,5735,5774,0.8662092789871855,86.6209279,86.85155164,0.5396387459441585,00:00:36,00:00:31
paluma_jump,2574,1807,1839,0.6354571354571354,63.54571355,64.14659415,0.48804734935271066,00:00:05,00:00:06
playing_ball,3120,2048,1916,0.6075921474358974,60.75921474,58.28325321,0.46254930966469426,00:00:06,00:00:03
Playing_on_water_slide,3065,2143,2122,0.6382381729200652,63.82381729,63.4170745,0.42156271539163687,00:00:05,00:00:03
Saving dolphines,6683,6358,6363,0.8244700483814654,82.44700484,82.44002195,0.20927946939992528,00:00:34,00:00:25
Scuba,2221,243,241,0.6862380485737747,68.62380486,68.25243001,0.6881312412056257,00:00:20,00:00:13
St Maarten Landing,1751,1358,1401,0.766620755,76.66207545,76.44371284,0.4771338952596558,00:00:06,00:00:04
Statue of Liberty,3863,2488,2523,0.6224056280550014,62.24056281,62.66845335,0.44467129391334814,00:00:09,00:00:06
Valparaiso_Downhill,5178,1973,2195,0.42187459765675295,42.18745977,45.33410583,0.5385354385050936,00:00:41,00:00:27
