VideoName,FrameCount,MissCount,Accuracy,AccuracyM,GTAcc,Mn_F1_score,Max_F1_score,Time
#NAME?,6912,6717,0.77908,0.7117332175925927,0.828848,0.046637,0.167335,00:40.7
0tmA_C6XwfM,3532,3355,0.815119,0.6811438278595696,0.714892,0.066874,0.323316,00:42.1
37rzWOQsNIw,5742,5568,0.822187,0.7060780215952629,0.801289,0.070732,0.176381,00:27.4
3eYKfiOEJNs,4853,4634,0.81599,0.7011539254069648,0.719143,0.047955,0.201966,00:10.4
4wU_LUjG5Ic,4005,3786,0.875156,0.7243695380774032,0.86417,0.165224,0.452954,00:10.7
91IHQYk1IQM,3312,3186,0.776872,0.6809480676328502,0.802234,0.038569,0.237358,00:08.7
98MoyGZKHXc,4688,4404,0.766212,0.657988481,0.672782,0.039152,0.221958,00:12.1
akI8YFjEmUw,3995,3873,0.781477,0.7089111389236545,0.864831,0.086408,0.145803,00:11.3
AwmHb44_ouw,10597,10528,0.807587,0.718061716,0.750967,0.006672,0.027055,00:25.1
b626MiF1ew4,5661,5393,0.754284,0.6956721427309662,0.793853,0.097676,0.231146,00:15.1
Bhxk-O1Y7Ho,13511,13078,0.791207,0.720794168,0.742506,0.032714,0.10757,00:36.4
byxOvuiIJV0,3705,3489,0.796491,0.6536842105263158,0.777868,0.065268,0.178649,00:09.5
cjibtmSLxQ4,19406,16563,0.724157,0.6803591672678554,0.72457,0.190827,0.243215,00:47.6
E11zDS9XGzg,15307,14493,0.794996,0.7009864767753317,0.846867,0.075524,0.252045,00:43.7
EE-bNr36nyA,2941,2756,0.811969,0.728714723,0.776267,0.158761,0.345562,00:09.6
eQu1rNs0an0,4931,4718,0.803083,0.7151693368485095,0.766782,0.085483,0.2346,00:13.3
EYqVtI9YWJA,5939,5766,0.786664,0.7062468429028457,0.750968,0.073775,0.112123,00:14.2
fWutDQy1nnY,17527,17498,0.837051,0.7184172990243625,0.704627,0.000798,0.015172,00:35.9
GsAD1KT1xo8,4356,4119,0.81359,0.6974747474747475,0.799357,0.0998,0.309813,00:12.6
gzDbaEs1Rlg,7210,7193,0.782663,0.7150208044382801,0.803467,0.002466,0.01637,00:19.2
Hl-__g2gn_A,5846,5042,0.787205,0.6804054054054054,0.747178,0.205977,0.36074,00:17.1
HT5vyqe0Xaw,9671,9661,0.825561,0.7335590941991522,0.875194,0.00063,0.006367,00:25.6
i3wAGJaaktw,4700,4634,0.829787,0.723095745,0.743191,0.051937,0.137931,00:12.8
iVt07TCkFM0,2500,2290,0.8,0.69894,0.6952,0.170094,0.387255,00:07.5
J0nA4VgnoCo,14019,13957,0.814323,0.7373564448248805,0.773308,0.003891,0.038823,00:38.0
jcoYJXDG9sw,5971,5509,0.856138,0.7526628705409479,0.816111,0.259342,0.419986,00:15.8
JgHubY5Vw3Y,4304,4181,0.762546,0.7138011152416357,0.790428,0.023328,0.090186,00:11.3
JKpqYvAdIsw,3802,3610,0.799316,0.6910967911625461,0.792741,0.090174,0.230071,00:08.5
kLxoNp-UchI,3896,3805,0.747433,0.6827130390143737,0.778491,0.0292,0.06703,00:10.4
LRw_obCPUt0,6241,5594,0.785611,0.7040137798429738,0.749399,0.19223,0.306358,00:17.2
NyBmCxDoHJU,4740,4272,0.757806,0.6264029535864979,0.703376,0.09574,0.365044,00:12.2
oDXZc0tZe04,11414,11161,0.77256,0.7028473804100227,0.867969,0.029013,0.09341,00:29.2
PJrm840pAUI,6580,6385,0.815198,0.729483283,0.898328,0.063338,0.179975,00:17.4
qqR6AEXwxoQ,8073,7455,0.841571,0.7205499814195467,0.828688,0.171134,0.395843,00:22.3
RBCABdttQmI,10917,10855,0.824311,0.7302189246129889,0.873683,0.02839,0.058881,00:28.5
Se3oxnaPsz0,4165,3901,0.790876,0.7131212484993998,0.72413,0.114556,0.208092,00:09.0
sTEELN-vY30,4468,4302,0.796553,0.736436885,0.7594,0.124571,0.197617,00:12.8
uGu_10sucQo,4009,3695,0.804689,0.6820029932651536,0.802195,0.083284,0.333071,00:12.6
vdmoEJ5YbrQ,9870,9494,0.813982,0.7254052684903749,0.864843,0.056734,0.275454,00:20.3
VuWGsYPqAX8,5412,5196,0.771249,0.7088229859571323,0.793792,0.02425,0.08658,00:15.8
WG0MBPpPC6I,9534,8067,0.720264,0.6502569750367108,0.704951,0.190463,0.279847,00:26.7
WxtbjNsCQ8A,7959,7635,0.778113,0.7043347154165096,0.823847,0.027848,0.149871,00:21.0
XkqCExn6_Us,5631,5254,0.796484,0.6992186112591015,0.787249,0.142423,0.300601,00:15.2
xmEERLqJ2kU,13365,10971,0.735428,0.5875383464272353,0.605761,0.082593,0.321305,00:38.1
xwqBXPGE9pQ,7010,6883,0.80428,0.7084094151212554,0.799715,0.048346,0.107853,00:18.4
xxdtq8mxegs,4324,4008,0.820074,0.7182932469935246,0.802498,0.195463,0.384494,00:10.0
XzYM3PfTM4w,3327,3227,0.798918,0.7267357980162308,0.762549,0.082479,0.167282,00:09.1
Yi4Ij2NM7U4,9731,9276,0.806906,0.7165193710821087,0.748125,0.073043,0.184434,00:25.1
z_6gVvQb2d0,8281,8146,0.810409,0.7212413959666708,0.795556,0.013331,0.114845,00:21.0
_xMr-HKMfVA,4463,4207,0.791396,0.6716110239749047,0.768317,0.061475,0.332616,00:11.7
